Cycle census for f(x) = a*x + 1,  a odd
(b = 1 forces gcd(a,b) = 1, so every one of these is primitive and irreducible)
==============================================================================

    a  cycles  drift a/4  cycle lengths
    1       1       0.25  [2]
    3       1       0.75  [3]
    5       3       1.25  [7, 10, 10]
    7       1       1.75  [4]
    9       0       2.25  []
   11       0       2.75  []
   13       0       3.25  []
   15       1       3.75  [5]
   17       0       4.25  []
   19       0       4.75  []
   21       0       5.25  []
   23       0       5.75  []
   25       0       6.25  []
   27       0       6.75  []
   29       0       7.25  []
   31       1       7.75  [6]
   33       0       8.25  []
   35       0       8.75  []
   37       0       9.25  []
   39       0       9.75  []
