Cycle census for f(x) = 3x + b,  b odd <= 99
search: seeds 1..20000, step budget 200000
counts are LOWER BOUNDS -- a cycle whose basin misses the seed window is not found
==============================================================================

    b  cycles  primitive    normal form  notes
    1       1          1 3x+1           
    3       1          1 3x+1           attracting 3^1
    5       6          5 3x+5           repelling 5^1
    7       2          1 3x+7           repelling 7^1
    9       1          1 3x+1           attracting 3^2
   11       3          2 3x+11          repelling 11^1
   13      10          9 3x+13          repelling 13^1
   15       6          5 3x+5           attracting 3^1; repelling 5^1
   17       3          2 3x+17          repelling 17^1
   19       2          1 3x+19          repelling 19^1
   21       2          1 3x+7           attracting 3^1; repelling 7^1
   23       4          3 3x+23          repelling 23^1
   25       8          2 3x+25          repelling 5^2
   27       1          1 3x+1           attracting 3^3
   29       5          4 3x+29          repelling 29^1
   31       2          1 3x+31          repelling 31^1
   33       3          2 3x+11          attracting 3^1; repelling 11^1
   35       9          2 3x+35          repelling 5^1,7^1
   37       4          3 3x+37          repelling 37^1
   39      10          9 3x+13          attracting 3^1; repelling 13^1
   41       2          1 3x+41          repelling 41^1
   43       2          1 3x+43          repelling 43^1
   45       6          5 3x+5           attracting 3^2; repelling 5^1
   47       8          7 3x+47          repelling 47^1
   49       3          1 3x+49          repelling 7^2
   51       3          2 3x+17          attracting 3^1; repelling 17^1
   53       2          1 3x+53          repelling 53^1
   55      11          3 3x+55          repelling 5^1,11^1
   57       2          1 3x+19          attracting 3^1; repelling 19^1
   59       8          7 3x+59          repelling 59^1
   61       3          2 3x+61          repelling 61^1
   63       2          1 3x+7           attracting 3^2; repelling 7^1
   65      16          1 3x+65          repelling 5^1,13^1
   67       2          1 3x+67          repelling 67^1
   69       4          3 3x+23          attracting 3^1; repelling 23^1
   71       8          7 3x+71          repelling 71^1
   73       4          3 3x+73          repelling 73^1
   75       8          2 3x+25          attracting 3^1; repelling 5^2
   77       5          1 3x+77          repelling 7^1,11^1
   79       5          4 3x+79          repelling 79^1
   81       1          1 3x+1           attracting 3^4
   83       4          3 3x+83          repelling 83^1
   85       9          1 3x+85          repelling 5^1,17^1
   87       5          4 3x+29          attracting 3^1; repelling 29^1
   89       2          1 3x+89          repelling 89^1
   91      14          3 3x+91          repelling 7^1,13^1
   93       2          1 3x+31          attracting 3^1; repelling 31^1
   95      10          3 3x+95          repelling 5^1,19^1
   97       3          2 3x+97          repelling 97^1
   99       3          2 3x+11          attracting 3^2; repelling 11^1
